,Name,Party
245,GOH KENG SWEE ROBERT,People's Action Party
246,GOH KEOW WAH GILBERT,Reform Party
247,GOH KONG BENG,Singapore People's Alliance
248,GOH LAM SAN,Barisan Sosialis
249,GOH MENG SENG,People's Power Party
250,GOH NEE KIM,United People's Party
251,GOH PEI SIONG  DANIEL,Workers' Party
252,GOH SENG SOON,Workers' Party
253,GOH SOO MING,United People's Party
254,GOH SU CHIANG,Singapore Alliance
255,GOH TENG HOON,Workers' Party
256,GOH TONG LIANG,Independent
257,GOH YEOW DEK,Singapore Alliance
258,GOH  ANTHONY,Democratic Party
259,GOHO  SRISH CHANDRA,Independent
260,GOMEZ  JAMES,Singapore Democratic Party
261,GONZALES  RAPHAEL ALFRED,People's Action Party
262,GOPAL KRISHNAN,Workers' Party
263,GOPALAN NAIR NANUPILLAI,Labour Party
264,GOPALAN NAIR PALLICHADATH,Workers' Party
265,GOSAIN  GOPAL KRISHNAN,Liberal Socialist Party
266,GOVINDASAMY GOPAL,Independent
267,GOVINDASAMY  N. NAIDU,People's Action Party
268,GOVINDASWAMY PERUMAL,People's Action Party
269,GUOK SING INN,Independent
270,GURMIT SINGH SADHU SINGH,Workers' Party
271,HALIMAH BINTE YACOB,Presidential Office
272,HAMID  K. MOHD S.,Progressive Party
273,HAMID  S. A.,United National Front
274,HAN HUI HUI,Independent
275,HAN SU MAY  GLENDA,Workers' Party
276,HARBANS SINGH,United People's Front
277,HARMINDER PAL SINGHGURCHARAN SINGH,Singapore Democratic Alliance
278,HARNEK SINGH,United National Front
279,HARUN BIN ABDUL GHANI,People's Action Party
280,HARUN BIN MOHAMED AMIN,Partai Rakyat
281,HASHIM BIN MUKAYAT,United People's Front
282,HASHIM BIN YADI,Workers' Party
283,HAWAZI BIN DAIPI,People's Action Party
284,HE TINGRU,Workers' Party
285,HENG CHEE HOW,People's Action Party
286,HENG CHIANG MENG,People's Action Party
287,HENG SWEE KEAT,People's Action Party
288,HENG SWEE TONG,Workers' Party
289,HO CHENG CHOON,People's Action Party
290,HO GEOK CHOO  MADELEINE,People's Action Party
291,HO JUAN THAI,Workers' Party
292,HO KAH LEONG,People's Action Party
293,HO KOK HOE,Labour Front
294,HO PENG KEE,People's Action Party
295,HO S. F.,Progressive Party
296,HO SEE BENG,People's Action Party
297,HO SOAK HARN,Reform Party
298,HO SOO HOCK,United National Front
299,HO TAT KIN,People's Action Party
300,HOE BOON TECK,Workers' Party
301,HOE PUAY CHOO,People's Action Party
302,HOLLOWAY  EDWARD HENRY,Liberal Socialist Party
303,HON SUI SEN BENEDICT,People's Action Party
304,HONG HAI,People's Action Party
305,HOOI BENG GUAN,Liberal Socialist Party
306,HOW KANG YONG,People's Action Party
307,HOWE YOON CHONG,People's Action Party
308,HRI KUMAR SANGARAN NAIR,People's Action Party
309,HSIEH SHAO AN ROBERT,Singapore Alliance
310,HU TSU TAU RICHARD,People's Action Party
311,HUANG SEOW KWANG,Workers' Party
312,HUSSAIN  SYED MUMTAZ,Independent
313,HWANG BAN CHEONG,United Front
314,HWANG CHENG PENG,Liberal Socialist Party
315,HWANG SOO JIN,People's Action Party
